que, what,  que
es, is,		ser
y, and,	y
en, in,	en
con, with, con
para, with,		para
mi, my,	mi
está, is,	estar
bien, good,	bien
pero, but, pero
yo, I,		yo
eso, that,		eso
sí, yes,	sí
tu, you,	tu
aquí, here,	aquí
del, of the,		del
al, to the,	al
como, as,		como
más, further/more,	más
esto, this,		esto
ya, already,		ya
todo, all,		todo
esta, this,		esta
vamos, come on,		ir
muy, very,	muy
hay, they have,		haber
ahora, now, ahora
algo, something,		algo
estoy, I'm,		estar
tengo, I go,	tener
nada, nothing, nada
gracias, thank you,	gracias
bueno, good, bueno
dónde, where,	dónde
dos, two,		dos
verdad, true,		verdad
